广东频道,#genre#
广东珠江,http://113.86.204.95:9999/udp/239.77.0.1:5146
开平综合,http://php.jdshipin.com:8880/chudian.php?id=kpzh
开平生活,http://php.jdshipin.com:8880/chudian.php?id=kpsh
江门综合,http://www.namewee.xyz/gudou.php?id=jiangmenzongheHD
江门侨乡生活,http://www.namewee.xyz/gudou.php?id=jiangmenyitao_1500
广东体育,http://113.100.72.95:8899/udp/239.77.0.112:5146
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8
广东新闻,http://113.101.119.52:808/hls/106/index.m3u8
广东卫视,http://219.147.3.106:4455/newlive/live/hls/26/live.m3u8
大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
新会综合,http://php.jdshipin.com:8880/chudian.php?id=xhzh
鹤山综合,http://php.jdshipin.com:8880/chudian.php?id=hszh
广州综合,http://www.namewee.xyz/gudou.php?id=gzhounewsHD
广州新闻,http://www.namewee.xyz/gudou.php?id=gzhouzongheHD
广州竞赛,http://www.namewee.xyz/gudou.php?id=gzfilmsgaoqing
广州影视,https://justsometime.gztv.com/sec/yingshi.m3u8
佛山综合,http://www.namewee.xyz/gudou.php?id=foshanzongheHD_4500
佛山公共,http://www.namewee.xyz/gudou.php?id=foshangonggongHD_4500
佛山影视,http://www.namewee.xyz/gudou.php?id=foshanyingshiHD_4500
顺德综合,http://www.namewee.xyz/gudou.php?id=shundeHD_4500
珠海,http://113.86.204.95:9999/udp/239.77.0.155:5146
深圳卫视,http://219.147.3.106:4455/newlive/live/hls/25/live.m3u8

央视频道,#genre#
CCTV1,http://14.117.233.245:9000/udp/239.77.0.188:5146
CCTV2,http://112.114.137.121:888/hls/2/index.m3u8
CCTV3,http://114.100.195.107:4022/rtp/238.1.78.170:7232
CCTV4,http://lu1.cc/itv/php/cctv4k.php
CCTV5,http://114.249.19.38:4022/rtp/239.3.1.173:8001
CCTV5+,http://114.249.19.38:4022/rtp/239.3.1.173:8001
CCTV6,http://117.141.149.101:4431/tsfile/live/faacts/0006_1.m3u8
CCTV7,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://220.178.185.92:4022/rtp/238.1.78.173:7256
CCTV9,http://121.24.99.52:8090/hls/17/index.m3u8
CCTV10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV11,http://xxw.me0.cn/api/migu.php?id=14
CCTV12,http://xxw.me0.cn/api/migu.php?id=15
CCTV13,http://14.117.233.245:9000/udp/239.77.0.188:5146
CCTV14,http://222.240.82.92:9901/tsfile/live/0014_1.m3u8
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://xxw.me0.cn/api/migu.php?id=19
CCTV兵器科技,http://xxw.me0.cn/api/migu.php?id=19
CCTV第一剧场,http://xxw.me0.cn/api/migu.php?id=19
CCTV怀旧剧场,http://xxw.me0.cn/api/migu.php?id=19
CCTV风云剧场,http://xxw.me0.cn/api/migu.php?id=19
CCTV风云音乐,http://xxw.me0.cn/api/migu.php?id=19
CCTV风云足球,http://xxw.me0.cn/api/migu.php?id=19
CCTV电视指南,http://xxw.me0.cn/api/migu.php?id=19
CCTV女性时尚,http://xxw.me0.cn/api/migu.php?id=19
CCTV央视文化精品,http://xxw.me0.cn/api/migu.php?id=19
CCTV世界地理,http://xxw.me0.cn/api/migu.php?id=19
CCTV高尔夫网球,http://xxw.me0.cn/api/migu.php?id=19
CCTV央视台球,http://xxw.me0.cn/api/migu.php?id=19
CCTV卫生健康,http://xxw.me0.cn/api/migu.php?id=19

广西频道,#genre#
桂林新闻综合,https://pull.gltvs.com:443/live/glxw/playlist.m3u8?v=b0528684bf934e120e1c30fc808e6576&t=1796868188
来宾综合频道,http://zb.lbnews.com.cn:1935/live/lbzh.stream/playlist.m3u8
灌阳新闻综合,https://lives.myun.tv:443/live/lx1reyg0.m3u8
资源电视台,https://rtmp.gdlive.gdmain.com:443/live/5z4yjgm0.m3u8
宾阳综合,https://rtmp.gdlive.gdmain.com:443/live/lgmzjyml.m3u8
龙州综合,https://rtmp.gdlive.gdmain.com:443/live/56jkpxkl.m3u8
凭祥综合,https://rtmp.gdlive.gdmain.com:443/live/lnbyv3ol.m3u8
天等综合,https://lives.myun.tv:443/live/56jkerol.m3u8
巴马综合,https://rtmp.gdlive.gdmain.com:443/live/028exb80.m3u8
都安综合,https://lives.myun.tv:443/live/09em42ol.m3u8
东兰综合,https://rtmp.gdlive.gdmain.com:443/live/09aony85.m3u8
罗城综合,http://www.3jlc.cn:80/lctvlive/lcm.m3u8#http://111.12.75.177:9100/lctvlive/lch.m3u8?zguangxd#http://111.12.75.177:9100/lctvlive/lch.m3u8
象州综合,https://livesec.mudu.tv:443/watch/9n9dc8.m3u8
